Season,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
2024-2025,Gerard Martín,esESP,DF,22.0,28,11,"1,038",11.5,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,1.1,1.6,10.0,40.0,122.0,0.09,0.26,0.35,0.09,0.35,0.04,0.1,0.14,0.04,0.14
2024-2025,Ronald Araújo,uyURU,DF,25.0,12,11,754,8.4,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.4,1.4,6.0,49.0,3.0,0.12,0.12,0.24,0.12,0.24,0.11,0.05,0.17,0.11,0.17
2024-2025,Frenkie de Jong,nlNED,MF,27.0,26,9,"1,143",12.7,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,0.7,0.7,2.0,2.6,36.0,120.0,24.0,0.16,0.16,0.31,0.16,0.31,0.05,0.16,0.21,0.05,0.21
2024-2025,Marc-André ter Stegen,deGER,GK,32.0,8,8,674,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-2025,Héctor Fort,esESP,DF,17.0,17,5,585,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.9,1.1,14.0,26.0,33.0,0.0,0.0,0.0,0.0,0.0,0.04,0.13,0.17,0.04,0.17
2024-2025,Pablo Torre,esESP,"MF,FW",21.0,10,4,310,3.4,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,1.1,5.0,17.0,20.0,0.87,0.29,1.16,0.87,1.16,0.11,0.23,0.33,0.11,0.33
2024-2025,Marc Bernal,esESP,MF,17.0,3,3,242,2.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03
2024-2025,Ansu Fati,esESP,FW,21.0,6,3,233,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.2,1.1,7.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.38,0.06,0.44,0.38,0.44
2024-2025,Pau Victor,esESP,FW,22.0,21,2,319,3.5,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,0.9,3.9,6.0,11.0,28.0,0.56,0.28,0.85,0.56,0.85,0.85,0.24,1.09,0.85,1.09
2024-2025,Andreas Christensen,dkDEN,DF,28.0,5,2,254,2.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.1,1.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02
2024-2025,Sergi Dominguez,esESP,DF,19.0,3,2,172,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-2025,Daniel Rodriguez,esESP,FW,18.0,1,1,37,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06
2024-2025,Ander Astralaga,esESP,GK,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,Álvaro Cortés,esESP,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,Andres Cuenca,esESP,DF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,Noah Darvich,deGER,MF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,Landry Farré,esESP,DF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,Guillermo Fernandez,esESP,MF,16.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,Toni Fernández,esESP,MF,16.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,Diego Kochen,usUSA,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,Alexis Olmedo,esESP,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,Álex Valle,esESP,DF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,Áron Yaakobishvili,huHUN,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,Squad Total,,,24.7,38,418,"3,420",38.0,99.0,72.0,171.0,92.0,7.0,8.0,63.0,3.0,91.5,85.2,67.5,152.7,860.0,2212.0,2201.0,2.61,1.89,4.5,2.42,4.32,2.41,1.78,4.18,2.24,4.02
2024-2025,Opponent Total,,,26.8,38,418,"3,420",38.0,39.0,31.0,70.0,35.0,4.0,4.0,89.0,2.0,41.9,38.8,32.6,71.4,406.0,780.0,769.0,1.03,0.82,1.84,0.92,1.74,1.1,0.86,1.96,1.02,1.88
