Season,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
2023-2024,Álvaro Rodríguez,uyURU,FW,19.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-2024,Lucas Cañizares,esESP,GK,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,Álvaro Carrillo,esESP,DF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,Fran,esESP,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,Fran González,esESP,DF,24.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,Mario de Luis,esESP,GK,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,Álvaro Odriozola,esESP,DF,27.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,Diego Piñeiro,esESP,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,Edgar Pujol,doDOM,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,Jacobo Ramón,esESP,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,Vinicius Tobias,brBRA,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,Theo Zidane,frFRA,MF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
